category,model,time_idx,tau_t,tau_t_std,tau_t_lo95,tau_t_hi95,is_post,n_active_cohorts,truth
scenB_seed3,FE+AR,28,0.11046894215805496,0.08387403516367858,-0.05392416676275506,0.27486205107886497,False,20,0.0
scenB_seed3,FE+AR,29,0.11046894215805506,0.08387403516367854,-0.05392416676275488,0.27486205107886497,False,20,0.0
scenB_seed3,FE+AR,30,0.11046894215805722,0.08387403516367857,-0.05392416676275277,0.2748620510788672,False,20,0.0
scenB_seed3,FE+AR,31,0.11046894215805728,0.08387403516367856,-0.05392416676275269,0.27486205107886724,False,20,0.0
scenB_seed3,FE+AR,32,0.11046894215805766,0.08387403516367858,-0.05392416676275236,0.2748620510788677,False,20,0.0
scenB_seed3,FE+AR,33,0.11046894215805478,0.08387403516367858,-0.05392416676275524,0.2748620510788648,False,20,0.0
scenB_seed3,FE+AR,34,0.11046894215805589,0.08387403516367858,-0.05392416676275413,0.2748620510788659,False,20,0.0
scenB_seed3,FE+AR,35,0.11046894215805855,0.08387403516367851,-0.05392416676275133,0.2748620510788684,False,20,0.0
scenB_seed3,FE+AR,36,0.11046894215805692,0.08387403516367856,-0.05392416676275305,0.27486205107886685,False,20,0.0
scenB_seed3,FE+AR,37,0.11046894215805711,0.08387403516367861,-0.05392416676275297,0.2748620510788672,False,20,0.0
scenB_seed3,FE+AR,38,0.11046894215805803,0.08387403516367854,-0.05392416676275191,0.27486205107886796,False,20,0.0
scenB_seed3,FE+AR,39,0.11046894215805789,0.08387403516367854,-0.05392416676275205,0.27486205107886785,False,20,0.0
scenB_seed3,FE+AR,40,0.11046894215805565,0.08387403516367856,-0.053924166762754314,0.27486205107886563,False,20,0.0
scenB_seed3,FE+AR,41,0.11046894215805739,0.08387403516367856,-0.05392416676275258,0.27486205107886735,False,20,0.0
scenB_seed3,FE+AR,42,0.11046894215805589,0.08387403516367858,-0.05392416676275413,0.2748620510788659,False,20,0.0
scenB_seed3,FE+AR,43,0.11046894215805743,0.08387403516367858,-0.05392416676275259,0.27486205107886746,False,20,0.0
scenB_seed3,FE+AR,44,0.11046894215805465,0.08387403516367858,-0.05392416676275537,0.2748620510788647,False,20,0.0
scenB_seed3,FE+AR,45,0.44286970775859463,0.11515124390999598,0.2171732696950025,0.6685661458221868,True,20,0.0
scenB_seed3,FE+AR,46,0.5647867606471254,0.14404993642657654,0.2824488852510354,0.8471246360432154,True,20,0.0
scenB_seed3,FE+AR,47,0.8416260922620415,0.16455759537711515,0.5190932053228958,1.1641589792011873,True,20,0.0
scenB_seed3,FE+AR,48,0.7841414936029907,0.18007344818268806,0.4311975351649221,1.1370854520410592,True,20,0.0
scenB_seed3,FE+AR,49,0.5940492165634252,0.1922091459770378,0.21731929044843112,0.9707791426784194,True,20,0.0
scenB_seed3,FE+AR,50,0.3785605887422127,0.20189491292941897,-0.017153440599448455,0.7742746180838739,True,20,0.0
