category,model,cohort_idx,time_idx,tau_ct,tau_ct_std,tau_ct_lo95,tau_ct_hi95,is_post,is_observed_ct,truth
scenA_seed3,FE+AR,8,1,0.07751586725323933,0.11607056419121739,-0.14998243856154675,0.3050141730680254,False,True,0.0
scenA_seed3,FE+AR,9,1,0.11796994317486875,0.11607056419121736,-0.10952836263991728,0.3454682489896548,False,True,0.0
scenA_seed3,FE+AR,10,1,0.11934428088220994,0.11607056419121732,-0.108154024932576,0.34684258669699586,False,True,0.0
scenA_seed3,FE+AR,11,1,0.11761108324543701,0.11607056419121728,-0.10988722256934885,0.34510938906022287,False,True,0.0
scenA_seed3,FE+AR,12,1,0.09368298505753836,0.11607056419121725,-0.13381532075724745,0.32118129087232417,False,True,0.0
scenA_seed3,FE+AR,13,1,0.12536784303368897,0.11607056419121722,-0.10213046278109678,0.3528661488484747,False,True,0.0
scenA_seed3,FE+AR,14,1,0.12837183476537095,0.11607056419121715,-0.09912647104941466,0.35587014058015654,False,True,0.0
scenA_seed3,FE+AR,15,1,0.17031983267240958,0.11607056419121713,-0.05717847314237598,0.39781813848719516,False,True,0.0
scenA_seed3,FE+AR,16,1,0.08521786160635081,0.1160705641912171,-0.1422804442084347,0.3127161674211363,False,True,0.0
scenA_seed3,FE+AR,17,1,0.10370643425905834,0.11607056419121706,-0.12379187155572707,0.33120474007384376,False,True,0.0
scenA_seed3,FE+AR,18,1,0.1363445548254476,0.11607056419121702,-0.09115375098933773,0.36384286064023297,False,True,0.0
scenA_seed3,FE+AR,19,1,0.1364409030681244,0.11607056419121699,-0.09105740274666088,0.36393920888290965,False,True,0.0
scenA_seed3,FE+AR,0,2,0.1296617829505966,0.11607056419122624,-0.09783652286420683,0.35716008876540006,False,True,0.0
scenA_seed3,FE+AR,1,2,0.10644807409292367,0.11607056419121771,-0.12105023172186302,0.33394637990771037,False,True,0.0
scenA_seed3,FE+AR,2,2,0.12650674540893014,0.11607056419121765,-0.10099156040585647,0.3540050512237167,False,True,0.0
scenA_seed3,FE+AR,3,2,0.1315196423886681,0.11607056419121763,-0.09597866342611847,0.3590179482034547,False,True,0.0
scenA_seed3,FE+AR,4,2,0.11290951672815419,0.11607056419121757,-0.11458878908663225,0.34040782254294066,False,True,0.0
scenA_seed3,FE+AR,5,2,0.12034897604018568,0.11607056419121754,-0.1071493297746007,0.34784728185497205,False,True,0.0
scenA_seed3,FE+AR,6,2,0.09298244077803774,0.1160705641912175,-0.13451586503674856,0.32048074659282405,False,True,0.0
scenA_seed3,FE+AR,7,2,0.06927574379850832,0.11607056419121749,-0.15822256201627796,0.29677404961329457,False,True,0.0
scenA_seed3,FE+AR,8,2,0.077515867253235,0.11607056419121746,-0.14998243856155122,0.30501417306802125,False,True,0.0
