model,effect_type,index,mean,lo95,hi95,truth
FE+AR,beta,40,0.07746424771082483,-0.051585251580061775,0.20651374700171143,0.14274280508523807
FE+AR,beta,41,-0.24779608992986998,-0.3768455892207565,-0.11874659063898346,-0.1942257456941151
FE+AR,beta,42,-0.39766554583713415,-0.5267150451280208,-0.2686160465462475,-0.44112315881460906
FE+AR,beta,43,-0.5778438221649675,-0.7068933214558542,-0.4487943228740809,-0.5250082785481198
FE+AR,beta,44,-0.3613751494598762,-0.4904246487507629,-0.23232565016898948,-0.4585095446375809
FE+AR,beta,45,-0.34407575080824526,-0.47312525009913187,-0.21502625151735866,-0.3176510317953902
FE+AR,beta,46,-0.2698893110775093,-0.39893881036839596,-0.1408398117866226,-0.18285647957462517
FE+AR,beta,47,-0.10667727548991585,-0.23572677478080242,0.02237222380097073,-0.08573010295306974
FE+AR,beta,48,-0.009230120150378107,-0.13827961944126474,0.11981937914050853,0.0015020372039852726
FE+AR,beta,49,0.14470736220764002,0.015657862916753446,0.2737568614985266,0.1286121132543637
FE+AR,beta,50,0.21765399716449008,0.08860449787360344,0.3467034964553767,0.31170114957134754
FE+AR,beta,51,0.4840171228447191,0.3549676235538325,0.6130666221356057,0.5023000732145124
FE+AR,beta,52,0.5465142213841256,0.4174647220932389,0.6755637206750124,0.6066435463958751
FE+AR,beta,53,0.5544295628723445,0.42538006358145775,0.6834790621632312,0.5442800684934543
FE+AR,beta,54,0.24528137516966886,0.1162318758787822,0.3743308744605555,0.30607552567606605
FE+AR,beta,55,0.18977937612858126,0.06072987683769457,0.3188288754194679,-0.029528210450462097
FE+AR,beta,56,-0.38937694011846274,-0.5184264394093494,-0.26032744082757603,-0.3352797121048066
FE+AR,beta,57,-0.6073861949023194,-0.7364356941932061,-0.47833669561143266,-0.5046307734841308
FE+AR,beta,58,-0.6163370470916713,-0.745386546382558,-0.48728754780078454,-0.5067138106349749
FE+AR,beta,59,-0.35712709152091654,-0.4861765908118033,-0.2280775922300298,-0.3917405031695168
GP-CP,alpha,0,-0.5583420784013304,-0.6265481984184254,-0.4901359583842355,-0.5309765645293563
GP-CP,alpha,1,-0.7337284157499814,-0.7812337165397015,-0.6862231149602612,-0.7208264582233472
GP-CP,alpha,2,-0.8273453592139406,-0.8735608893760988,-0.7811298290517824,-0.7845087143202973
GP-CP,alpha,3,-0.8308052980703488,-0.8744872346954411,-0.7871233614452564,-0.7659003698867342
GP-CP,alpha,4,-0.7674563445292912,-0.8096193322647316,-0.7252933567938509,-0.7153704133763673
GP-CP,alpha,5,-0.6749644354479203,-0.7169208394137331,-0.6330080314821075,-0.6639303622113174
GP-CP,alpha,6,-0.5776987095423824,-0.6206172497620691,-0.5347801693226958,-0.6091047468101299
GP-CP,alpha,7,-0.4673667064973062,-0.5089028941860868,-0.42583051880852557,-0.5185941184439983
GP-CP,alpha,8,-0.3066907272940501,-0.3473875748456328,-0.2659938797424674,-0.3499020056943119
GP-CP,alpha,9,-0.056226227782254445,-0.09866152433326786,-0.013790931231241033,-0.07699795234811985
GP-CP,alpha,10,0.2912248325089443,0.24897620460694828,0.3334734604109404,0.2881749462782646
GP-CP,alpha,11,0.6901738999184787,0.6495682300309497,0.7307795698060077,0.6895592336592592
GP-CP,alpha,12,1.0501197243570368,1.0085977254725647,1.091641723241509,1.040009954049654
GP-CP,alpha,13,1.269261987727928,1.226705623622229,1.3118183518336273,1.2491456628340392
GP-CP,alpha,14,1.2770581747094492,1.2352209089482677,1.3188954404706306,1.2552427030368767
GP-CP,alpha,15,1.063615751296928,1.0215682813719644,1.1056632212218915,1.0483964999605397
GP-CP,alpha,16,0.682103269228373,0.6388806634442616,0.7253258750124845,0.6754931892009342
GP-CP,alpha,17,0.22570447986688724,0.17961193282412752,0.27179702690964697,0.22480883213657193
GP-CP,alpha,18,-0.2069889987866827,-0.25392500456564293,-0.16005299300772244,-0.203742750782804
GP-CP,alpha,19,-0.5416488182985388,-0.6098438352097799,-0.4734538013872978,-0.5309765645293556
GP-CP,beta,0,-0.46396252206747735,-0.5794107991021331,-0.3485142450328216,-0.5066085091360927
GP-CP,beta,1,-0.31744748373135595,-0.40102590228568646,-0.2338690651770254,-0.39152320080401687
GP-CP,beta,2,-0.1783192010257061,-0.26187803598558596,-0.09476036606582623,-0.24583547847150092
GP-CP,beta,3,-0.08529760972161947,-0.1653703963034859,-0.005224823139753032,-0.1300665777834437
GP-CP,beta,4,-0.020199487639583014,-0.0999136788740719,0.05951470359490588,-0.04404759175314208
GP-CP,beta,5,0.06966040304113082,-0.009571510604938382,0.14889231668720002,0.05783998491226941
GP-CP,beta,6,0.21844699813230423,0.13936510673781694,0.2975288895267915,0.21484990683585883
GP-CP,beta,7,0.4070837378159957,0.3279880082952109,0.4861794673367805,0.4116532320111463
GP-CP,beta,8,0.5654859924271154,0.486087274773256,0.6448847100809748,0.571515700200443
GP-CP,beta,9,0.6025804856976616,0.5234510307023558,0.6817099406929675,0.5989408859633627
GP-CP,beta,10,0.45785836297395177,0.37730421136760145,0.538412514580302,0.44382745234548054
GP-CP,beta,11,0.1567095874980179,0.07762525087984073,0.23579392411619504,0.14248617908867336
GP-CP,beta,12,-0.1814381055837905,-0.26151884462856695,-0.10135736653901407,-0.19445914467626646
GP-CP,beta,13,-0.41462762675095044,-0.4954193283821319,-0.333835925119769,-0.4412513867594149
GP-CP,beta,14,-0.4761777970512461,-0.5550089567042419,-0.3973466373982503,-0.5250080049376931
GP-CP,beta,15,-0.40457638460480666,-0.4849040916217292,-0.3242486775878841,-0.4584201031682338
GP-CP,beta,16,-0.28596360257619236,-0.36512365890856335,-0.20680354624382138,-0.3175394477581256
GP-CP,beta,17,-0.18052183563900898,-0.25943726056332667,-0.10160641071469127,-0.18276947363173493
GP-CP,beta,18,-0.09652895830165115,-0.17542166989375485,-0.017636246709547443,-0.08566705293551292
GP-CP,beta,19,-0.008817446162841233,-0.08757703414886121,0.06994214182317875,0.0015772015199074802
GP-CP,beta,20,0.11049168291371847,0.0317865619213786,0.18919680390605834,0.1287305880353711
GP-CP,beta,21,0.2657297395918398,0.1870056703191718,0.3444538088645078,0.31185169381553585
GP-CP,beta,22,0.4227554582713339,0.34398999536603636,0.5015209211766314,0.5024235706960724
GP-CP,beta,23,0.5161803021350423,0.43741715438336953,0.594943449886715,0.6066659979532112
GP-CP,beta,24,0.4823292585250556,0.40351254295419126,0.5611459740959199,0.5441623561035577
GP-CP,beta,25,0.3009239067344489,0.22216468779999549,0.37968312566890233,0.3058453022729989
GP-CP,beta,26,0.0173480961093911,-0.06138986239559491,0.09608605461437711,-0.02978578945587622
GP-CP,beta,27,-0.27185744704469766,-0.35058447604698884,-0.1931304180424065,-0.33546777084838086
GP-CP,beta,28,-0.4642209667713181,-0.5430919978243791,-0.38534993571825704,-0.5046933635206385
GP-CP,beta,29,-0.5019989609230397,-0.5810994230044346,-0.4228984988416449,-0.5066611938680771
GP-CP,beta,30,-0.39979316866812714,-0.4787493195995997,-0.3208370177366546,-0.3916318599516645
GP-CP,beta,31,-0.2324079027758733,-0.3112761948461063,-0.15353961070564032,-0.2459378432066193
GP-CP,beta,32,-0.08471003111233982,-0.1649746812732953,-0.004445380951384359,-0.13013856989783867
GP-CP,beta,33,0.009392763641903834,-0.07007096985650253,0.0888564971403102,-0.04411141104698911
GP-CP,beta,34,0.08912410125457572,0.009943839372679189,0.16830436313647223,0.05774500319059439
GP-CP,beta,35,0.21865352122304194,0.13720735389744187,0.300099688548642,0.2147106203542253
GP-CP,beta,36,0.4049154771999083,0.32559039799423733,0.4842405564055792,0.41150676911199924
GP-CP,beta,37,0.5647280386591036,0.4852617133928645,0.6441943639253427,0.5714345701287801
GP-CP,beta,38,0.582157534562313,0.501298318933661,0.6630167501909651,0.5989875343568406
GP-CP,beta,39,0.40514021472353734,0.3261242303919475,0.4841561990551272,0.44400925768149335
GP-CP,beta,40,0.09243090553837774,0.013129892041421107,0.17173191903533436,0.14274280508523807
GP-CP,beta,41,-0.22609121703552626,-0.30604398432219027,-0.14613844974886225,-0.1942257456941151
GP-CP,beta,42,-0.4349148623375494,-0.5138100436425959,-0.3560196810325029,-0.44112315881460906
GP-CP,beta,43,-0.49444229002526574,-0.5735761871961628,-0.4153083928543687,-0.5250082785481198
GP-CP,beta,44,-0.4404148572832983,-0.5197508606347523,-0.36107885393184436,-0.4585095446375809
GP-CP,beta,45,-0.33673270636897323,-0.41543256056519,-0.25803285217275646,-0.3176510317953902
GP-CP,beta,46,-0.2280714606056963,-0.306917124030598,-0.14922579718079457,-0.18285647957462517
GP-CP,beta,47,-0.12463085939331202,-0.20340476429706048,-0.04585695448956356,-0.08573010295306974
GP-CP,beta,48,-0.01405473972614929,-0.09275394270323481,0.06464446325093623,0.0015020372039852726
GP-CP,beta,49,0.1199050975138012,0.0410907602522068,0.1987194347753956,0.1286121132543637
GP-CP,beta,50,0.2798673670476003,0.20116039533757832,0.35857433875762224,0.31170114957134754
GP-CP,beta,51,0.4402145868634809,0.36127128968708877,0.5191578840398731,0.5023000732145124
GP-CP,beta,52,0.5453137434181504,0.466040187018428,0.6245872998178729,0.6066435463958751
GP-CP,beta,53,0.5286469719693592,0.4495950980432466,0.6076988458954717,0.5442800684934543
GP-CP,beta,54,0.34862135712964404,0.2686321096559192,0.42861060460336886,0.30607552567606605
GP-CP,beta,55,0.028233136643207216,-0.052429044083036946,0.10889531736945138,-0.029528210450462097
GP-CP,beta,56,-0.3271187179488447,-0.4071281218908596,-0.24710931400682973,-0.3352797121048066
GP-CP,beta,57,-0.5674239744191291,-0.6529677550557208,-0.4818801937825373,-0.5046307734841308
GP-CP,beta,58,-0.5876346273749745,-0.6719512336961626,-0.5033180210537864,-0.5067138106349749
GP-CP,beta,59,-0.4005319785846686,-0.516882490100399,-0.28418146706893826,-0.3917405031695168
GP-CP-Extended,alpha,0,-0.5575175292781543,-0.6226452016714609,-0.4923898568848478,-0.5309765645293563
GP-CP-Extended,alpha,1,-0.7336753530193081,-0.7791295797551446,-0.6882211262834715,-0.7208264582233472
GP-CP-Extended,alpha,2,-0.8282941977257734,-0.8722812216857148,-0.784307173765832,-0.7845087143202973
GP-CP-Extended,alpha,3,-0.8319520119110811,-0.8731240170755743,-0.790780006746588,-0.7659003698867342
GP-CP-Extended,alpha,4,-0.7678098890106636,-0.8081584867626567,-0.7274612912586705,-0.7153704133763673
GP-CP-Extended,alpha,5,-0.6741544604403682,-0.7139765888498811,-0.6343323320308553,-0.6639303622113174
GP-CP-Extended,alpha,6,-0.5763023275790173,-0.6163906455481487,-0.536214009609886,-0.6091047468101299
GP-CP-Extended,alpha,7,-0.46650185370367947,-0.505913654996553,-0.4270900524108059,-0.5185941184439983
GP-CP-Extended,alpha,8,-0.30712168005872037,-0.34602892216194986,-0.2682144379554909,-0.3499020056943119
GP-CP-Extended,alpha,9,-0.057697062009971684,-0.0974195533449429,-0.01797457067500046,-0.07699795234811985
GP-CP-Extended,alpha,10,0.2898225165209808,0.25025115208422666,0.3293938809577349,0.2881749462782646
GP-CP-Extended,alpha,11,0.6899108381213338,0.6510707896622118,0.7287508865804558,0.6895592336592592
GP-CP-Extended,alpha,12,1.0511774184666325,1.0117364717965935,1.0906183651366714,1.040009954049654
GP-CP-Extended,alpha,13,1.270825214649082,1.2309793638401973,1.3106710654579665,1.2491456628340392
GP-CP-Extended,alpha,14,1.278001532688195,1.2382844278496712,1.317718637526719,1.2552427030368767
GP-CP-Extended,alpha,15,1.0634064345499776,1.0231224677150033,1.103690401384952,1.0483964999605397
GP-CP-Extended,alpha,16,0.6812044871028784,0.640329368394627,0.7220796058111298,0.6754931892009342
GP-CP-Extended,alpha,17,0.22512355554366503,0.18125239881272373,0.26899471227460636,0.22480883213657193
GP-CP-Extended,alpha,18,-0.20677354966937847,-0.2518590401922095,-0.16168805914654744,-0.203742750782804
GP-CP-Extended,alpha,19,-0.5416720832366292,-0.6067749438221999,-0.4765692226510585,-0.5309765645293556
GP-CP-Extended,beta,0,-0.46481925713255867,-0.5754338808414512,-0.35420463342366615,-0.5066085091360927
GP-CP-Extended,beta,1,-0.3175685517220606,-0.397867986395816,-0.2372691170483052,-0.39152320080401687
GP-CP-Extended,beta,2,-0.1775135858715895,-0.2576945053057986,-0.09733266643738038,-0.24583547847150092
GP-CP-Extended,beta,3,-0.08456664688453722,-0.16141064243312922,-0.007722651335945213,-0.1300665777834437
GP-CP-Extended,beta,4,-0.020111463263086105,-0.09669268659637914,0.05646976007020693,-0.04404759175314208
GP-CP-Extended,beta,5,0.06926765436354165,-0.006838086164137391,0.1453733948912207,0.05783998491226941
GP-CP-Extended,beta,6,0.21772675535231817,0.14174036075457772,0.2937131499500586,0.21484990683585883
GP-CP-Extended,beta,7,0.40620763365972434,0.33026702609228137,0.4821482412271673,0.4116532320111463
GP-CP-Extended,beta,8,0.5652535840117142,0.48892098966080283,0.6415861783626255,0.571515700200443
GP-CP-Extended,beta,9,0.6037794070018138,0.5276477275288776,0.67991108647475,0.5989408859633627
