category,model,cohort_idx,time_idx,tau_ct,tau_ct_std,tau_ct_lo95,tau_ct_hi95,is_post,is_observed_ct,truth
scenB_seed4,FE+AR,18,0,0.14804186578123169,0.3548687888659238,-0.547500960395979,0.8435846919584423,False,True,0.0
scenB_seed4,FE+AR,19,0,0.12243470090373487,0.35486878886592377,-0.5731081252734757,0.8179775270809454,False,True,0.0
scenB_seed4,FE+AR,0,1,0.16272194415036423,0.3548687888658077,-0.5328208820266188,0.8582647703273473,False,True,0.0
scenB_seed4,FE+AR,1,1,0.11955023600525672,0.3548687888657822,-0.5759925901716764,0.8150930621821898,False,True,0.0
scenB_seed4,FE+AR,2,1,0.07779506111087453,0.35486878886578216,-0.6177477650660584,0.7733378872878075,False,True,0.0
scenB_seed4,FE+AR,3,1,0.0846029356771606,0.35486878886578205,-0.6109398904997722,0.7801457618540933,False,True,0.0
scenB_seed4,FE+AR,4,1,0.005756952854833797,0.35486878886578194,-0.6897858733220988,0.7012997790317664,False,True,0.0
scenB_seed4,FE+AR,5,1,-0.08187920192142073,0.3548687888657818,-0.7774220280983531,0.6136636242555117,False,True,0.0
scenB_seed4,FE+AR,6,1,-0.17185841440409577,0.3548687888657817,-0.867401240581028,0.5236844117728364,False,True,0.0
scenB_seed4,FE+AR,7,1,-0.09768920220510169,0.35486878886578155,-0.7932320283820335,0.5978536239718302,False,True,0.0
scenB_seed4,FE+AR,8,1,-0.03674257598874253,0.3548687888657815,-0.7322854021656743,0.6588002501881892,False,True,0.0
scenB_seed4,FE+AR,9,1,0.05403211602945568,0.3548687888657813,-0.6415107101474757,0.7495749422063871,False,True,0.0
scenB_seed4,FE+AR,10,1,0.006325657193491208,0.3548687888657812,-0.68921716898344,0.7018684833704224,False,True,0.0
scenB_seed4,FE+AR,11,1,-0.08803413177488195,0.35486878886578116,-0.783576957951813,0.6075086944020491,False,True,0.0
scenB_seed4,FE+AR,12,1,-0.2118341285444817,0.354868788865781,-0.9073769547214124,0.48370869763244906,False,True,0.0
scenB_seed4,FE+AR,13,1,-0.2057063338092504,0.3548687888657809,-0.9012491599861809,0.4898364923676801,False,True,0.0
scenB_seed4,FE+AR,14,1,-0.2054691934558317,0.35486878886578077,-0.901012019632762,0.4900736327210986,False,True,0.0
scenB_seed4,FE+AR,15,1,-0.22174018354062675,0.35486878886578066,-0.9172830097175568,0.47380264263630334,False,True,0.0
scenB_seed4,FE+AR,16,1,-0.17977184205923558,0.35486878886578055,-0.8753146682361654,0.5157709841176943,False,True,0.0
scenB_seed4,FE+AR,17,1,0.009781405188752146,0.3548687888657805,-0.6857614209881776,0.7053242313656819,False,True,0.0
scenB_seed4,FE+AR,18,1,0.14804186578123457,0.3548687888657803,-0.5475009603956948,0.843584691958164,False,True,0.0
scenB_seed4,FE+AR,19,1,0.12243470090373787,0.3548687888657802,-0.5731081252731913,0.8179775270806671,False,True,0.0
scenB_seed4,FE+AR,0,2,0.162721944150368,0.3548687888658079,-0.5328208820266155,0.8582647703273515,False,True,0.0
scenB_seed4,FE+AR,1,2,0.11955023600526038,0.35486878886578244,-0.5759925901716731,0.8150930621821939,False,True,0.0
scenB_seed4,FE+AR,2,2,0.0777950611108782,0.3548687888657824,-0.6177477650660552,0.7733378872878116,False,True,0.0
scenB_seed4,FE+AR,3,2,0.08460293567716426,0.35486878886578227,-0.6109398904997689,0.7801457618540975,False,True,0.0
scenB_seed4,FE+AR,4,2,0.0057569528548375715,0.3548687888657822,-0.6897858733220955,0.7012997790317707,False,True,0.0
scenB_seed4,FE+AR,5,2,-0.08187920192141718,0.35486878886578205,-0.7774220280983499,0.6136636242555156,False,True,0.0
scenB_seed4,FE+AR,6,2,-0.171858414404092,0.35486878886578194,-0.8674012405810246,0.5236844117728406,False,True,0.0
scenB_seed4,FE+AR,7,2,-0.0976892022050978,0.35486878886578177,-0.7932320283820301,0.5978536239718345,False,True,0.0
scenB_seed4,FE+AR,8,2,-0.03674257598873876,0.3548687888657817,-0.732285402165671,0.6588002501881934,False,True,0.0
